"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-14022017-086434";"";
"REFERENCE";"K 3X5X7 TN";"";
"TraceParts.PartVersion";"1.2.0";"";
"TraceParts.InstanceId";"10-14022017-08643471Y649MA54B4BIVFNQHNYVM29";"";
"TraceParts.PartTitle";"Needle roller and cage assemblies, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Needle roller and cage assemblies, single row, Inside Ø 3 mm, Outside Ø 5 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.0003";"";
